DateTime,Open,High,Low,Close,VolatilityRank,TradeDirection,TakeProfitPrice,LongStopLossRelativetoOpenPrice,ShortStopLossRelativetoOpenPrice,LongHigherHighHigherLow,ShortLowerHighLowerLow,TrailingStoplossExitPrice,TrailingExitStopLossDate,TrailingHighLowDirection,FutureStopLossPrice,TrailingStopLoss,TakeProfitHitDate,ExitPrice,SingleTradePercentageChange,CumulativeReturn,Rolling30DReturn,Rolling3MReturn,Rolling6MReturn,Rolling9MReturn,WinRateCumulative,RiskReturnCumulative,KellyCriterionCumulative
2010-01-03,1.4301,1.4337,1.4257,1.429,,Hold,,1.4258096999999998,1.4343902999999998,,,,,,,,,,,,,,,,,,
2010-01-04,1.4289,1.4456,1.4269,1.4427,,Hold,,1.4246133,1.4331866999999998,,,,,,,,,,,,,,,,,,
2010-01-05,1.4426,1.4483,1.4334,1.4355,,Hold,,1.4382722000000001,1.4469277999999999,HigherLow,HigherHigh,,,,,,,,,,,,,,,,
2010-01-06,1.4356,1.4447,1.4283,1.44,,Hold,,1.4312932,1.4399068,HigherLow,HigherHigh,,,,,,,,,,,,,,,,
2010-01-07,1.4399,1.4404,1.4299,1.4313,,Hold,,1.4355803,1.4442196999999999,LowerLow,LowerHigh,,,,,,,,,,,,,,,,
2010-01-08,1.4314,1.4439,1.4263,1.4409,,Hold,,1.4271058,1.4356942,HigherLow,LowerHigh,,,,,,,,,,,,,,,,
2010-01-09,,,,,,Hold,,,,LowerLow,HigherHigh,,,,,,,,,,,,,,,,
2010-01-10,1.4428,1.4533,1.4408,1.4498,12.5,Hold,,1.4384716000000002,1.4471284,LowerLow,HigherHigh,,,,,,,,,,,,,,,,
2010-01-11,1.4499,1.4556,1.4453,1.4483,11.11111111111111,Hold,,1.4455503,1.4542496999999999,LowerLow,HigherHigh,,,,,,,,,,,,,,,,
2010-01-12,1.4484,1.4546,1.4456,1.4489,20.0,Short,1.433916,1.4440548,1.4527451999999998,HigherLow,HigherHigh,1.4527451999999998,2010-01-12,"['HigherHigh' 'LowerHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'LowerHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'HigherHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'HigherHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'HigherHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh'
 'HigherHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh'
 'HigherHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh' 'LowerHigh'
 'LowerHigh' 'LowerHigh' 'LowerHigh' 'HigherHigh' 'HigherHigh' 'LowerHigh'
 'HigherHigh']","[1.4527451999999998 1.4531463999999998 1.4575596 1.4460250999999997 nan
 1.4396058999999999 1.4418125 1.4436178999999998 1.4253632999999999
 1.4137284999999997 1.4166372 nan 1.4198467999999997 1.4210504 1.4133273
 1.4117224999999998 1.4054035999999999 1.3972793 nan 1.3907597999999999
 1.3921639999999997 1.3956744999999997 1.3997867999999998 1.3929664
 1.3753136 nan 1.3698973999999997 1.3685934999999998 1.3734079
 1.3794258999999998 1.3832372999999998 1.371101 nan 1.3665874999999998
 1.3650829999999998 1.3684931999999999 1.3819333999999999
 1.3609706999999998 1.3522446 nan 1.3676907999999999 1.3678913999999998
 1.3664872 1.3578613999999998 1.351041 1.3625755 nan 1.3663869 1.3643809
 1.3572596 1.3677910999999998 1.372104 1.3629767 nan 1.3670889999999998
 1.3719033999999997 1.3659857 1.3638793999999999 1.3681923
 1.3733075999999997 nan 1.3817327999999998 1.3774198999999998
 1.3732072999999998 1.3820336999999998 1.3757147999999997 1.3664872 nan
 1.3576607999999997 1.3552535999999997 1.3597670999999998
 1.3495364999999997 1.3372998999999999 1.3372998999999999 nan 1.351041
 1.3481322999999998 1.3528463999999998 1.3435184999999998 1.3548524
 1.3606698 nan 1.3536487999999998 1.3562565999999998 1.3466277999999998
 1.3428163999999998 1.3367984 1.3400079999999999 nan 1.370098
 1.3695964999999999 1.3614721999999997 1.3699976999999997
 1.3688943999999998 1.3582626 nan 1.3507400999999999 1.3501383 1.3518434
 1.3456247999999997 1.3428163999999998 1.3262668999999998 nan 1.3387041
 1.3410109999999997 1.3419136999999999 1.3253641999999997
 1.3251635999999998 1.3290752999999997 nan 1.3398074 1.3254644999999998
 1.32396 1.2996873999999998 1.2881528999999998 1.2744117999999998 nan
 1.2956754 1.2982831999999997 1.2783234999999997 1.2672904999999999
 1.2683938 1.2571602 nan 1.2378022999999998 1.2301794999999998
 1.2369998999999998 1.2228576 1.2398082999999998 1.2630778999999999 nan
 1.2574611 1.2536497 1.2327873 1.2332888 1.2261674999999999
 1.2334893999999998 nan 1.2301794999999998 1.2353950999999999 1.2290762
 1.2248636 1.2328876 1.2214534 nan 1.1963784 1.1931687999999998 1.2004907
 1.1982841 1.2069098999999999 1.2135296999999998 nan 1.2164384
 1.2216539999999998 1.2254653999999998 1.2352948 1.2307812999999999
 1.2440208999999998 nan 1.2488352999999999 1.2451242 1.2338905999999998
 1.2297782999999998 1.2383037999999997 1.2357962999999998 nan 1.2410119
 1.2418143 1.2301794999999998 1.2247633 1.2240611999999997 1.2549536 nan
 1.2598683 1.2576616999999999 1.2572605 1.2628773 1.2688952999999998
 1.2725060999999998 nan 1.2673907999999998 1.2635793999999998
 1.2626766999999999 1.2754147999999998 1.2791259 1.2949732999999999 nan
 1.2943714999999998 1.2941709 1.3000885999999998 1.291864
 1.2808309999999998 1.2923654999999998 nan 1.2928669999999998
 1.2966783999999998 1.3046020999999999 1.3031978999999998
 1.3048026999999998 1.3095168 nan 1.3101185999999998 1.3120242999999998
 1.3206501 1.3253641999999997 1.3186440999999998 1.3226561 nan
 1.3333881999999997 1.3318837 1.3186440999999998 1.3160363 1.2921649
 1.2899583 nan 1.2803295 1.2816333999999998 1.2874508 1.287852 1.2845421
 1.2848429999999997 nan 1.2742111999999999 1.2751139 1.2670899 1.2693968
 1.2755151 1.2751139 nan 1.279828 1.2776214 1.2688952999999998
 1.2742111999999999 1.2826364 1.2856454 nan 1.2928669999999998 1.2932682
 1.2844417999999997 1.2730076 1.2750136 1.2703997999999999 nan 1.2752142
 1.2827366999999998 1.2912622 1.3004897999999998 1.3024957999999998
 1.3143311999999998 nan 1.3102189 1.3111215999999997 1.3134284999999999
 1.3335887999999998 1.3436187999999998 1.3385034999999998 nan 1.3526458
 1.3502386 1.3501383 1.3625755 1.3634781999999999 1.370098 nan
 1.3842402999999999 1.3800276999999999 1.3691953 1.3888540999999999
 1.3959753999999998 1.3997867999999998 nan 1.4035981999999998 1.4006895
 1.3920636999999998 1.4005892 1.4110204 1.4078107999999998 nan
 1.4031969999999998 1.3923645999999998 1.3962762999999998
 1.3813315999999998 1.3958750999999998 1.3968781 nan 1.4014919 1.4071087
 1.4001879999999998 1.3853436 1.3865471999999999 1.3942702999999996 nan
 1.4002882999999997 1.4020936999999998 1.3958750999999998
 1.4061056999999997 1.4177404999999998 1.4237585 nan 1.4099170999999997
 1.3993855999999998 1.3909604 1.3802283 1.3828360999999998
 1.3655844999999998 nan 1.3747117999999998 1.3724048999999998
 1.3658853999999998 1.3544512 1.3628763999999998 1.3671893 nan
 1.3760156999999997 1.3801279999999998 1.3619737 1.3441203
 1.3361965999999998 1.3358957 nan 1.3322848999999999 1.3264675
 1.3131275999999998 1.3047023999999998 1.3145318 1.3241606 nan
 1.3416127999999998 1.3392055999999999 1.3375004999999998
 1.3269689999999998 1.3353941999999999 1.3291755999999997 nan 1.3237594
 1.3222549 1.3427160999999999 1.3392055999999999 1.324963
 1.3327863999999998 nan 1.3225558 1.3193461999999998 1.3206501
 1.3173401999999999 1.3150332999999998 1.3166380999999998 nan
 1.3153341999999997 1.3164375 1.3280722999999999 1.3165377999999999
 1.3274704999999998 1.3330872999999999]","[1.4527451999999998 1.4531463999999998 1.4531463999999998
 1.4460250999999997 nan 1.4396058999999999 1.4418125 1.4418125
 1.4253632999999999 1.4137284999999997 1.4166372 1.4166372 1.4166372
 1.4166372 1.4166372 1.4117224999999998 1.4054035999999999 1.3972793 nan
 1.3907597999999999 1.3921639999999997 1.3921639999999997
 1.3921639999999997 1.3921639999999997 1.3753136 nan 1.3698973999999997
 1.3685934999999998 1.3685934999999998 1.3685934999999998
 1.3832372999999998 1.371101 nan 1.3665874999999998 1.3650829999999998
 1.3650829999999998 1.3650829999999998 1.3650829999999998 1.3522446 nan
 1.3676907999999999 1.3678913999999998 1.3664872 1.3664872 1.351041
 1.3625755 1.3625755 1.3625755 1.3625755 1.3625755 1.3625755 1.3625755
 1.3629767 nan 1.3670889999999998 1.3719033999999997 1.3719033999999997
 1.3638793999999999 1.3638793999999999 1.3638793999999999
 1.3638793999999999 1.3638793999999999 1.3638793999999999
 1.3732072999999998 1.3732072999999998 1.3732072999999998 1.3664872 nan
 1.3576607999999997 1.3552535999999997 1.3552535999999997
 1.3495364999999997 1.3372998999999999 1.3372998999999999
 1.3372998999999999 1.3372998999999999 1.3372998999999999
 1.3372998999999999 1.3372998999999999 1.3372998999999999
 1.3372998999999999 nan 1.3536487999999998 1.3562565999999998
 1.3466277999999998 1.3428163999999998 1.3367984 1.3400079999999999
 1.3400079999999999 1.3400079999999999 1.3400079999999999
 1.3400079999999999 1.3699976999999997 1.3699976999999997 1.3582626 nan
 1.3507400999999999 1.3501383 1.3501383 1.3501383 1.3428163999999998
 1.3262668999999998 nan 1.3387041 1.3410109999999997 1.3410109999999997
 1.3253641999999997 1.3251635999999998 1.3251635999999998
 1.3251635999999998 1.3251635999999998 1.3251635999999998 1.32396
 1.2996873999999998 1.2881528999999998 1.2744117999999998 nan 1.2956754
 1.2982831999999997 1.2982831999999997 1.2672904999999999 1.2683938
 1.2571602 nan 1.2378022999999998 1.2301794999999998 1.2301794999999998
 1.2301794999999998 1.2398082999999998 1.2398082999999998
 1.2398082999999998 1.2398082999999998 1.2398082999999998 1.2327873
 1.2332888 1.2261674999999999 1.2261674999999999 1.2261674999999999
 1.2261674999999999 1.2261674999999999 1.2261674999999999
 1.2261674999999999 1.2328876 1.2328876 nan 1.1963784 1.1931687999999998
 1.1931687999999998 1.1931687999999998 1.1931687999999998
 1.1931687999999998 1.1931687999999998 1.1931687999999998
 1.1931687999999998 1.1931687999999998 1.1931687999999998
 1.1931687999999998 1.1931687999999998 1.1931687999999998
 1.1931687999999998 1.1931687999999998 1.2338905999999998
 1.2297782999999998 1.2297782999999998 1.2297782999999998
 1.2297782999999998 1.2297782999999998 1.2297782999999998
 1.2301794999999998 1.2247633 1.2247633 1.2247633 1.2247633 1.2247633
 1.2247633 1.2572605 1.2572605 1.2572605 1.2572605 1.2572605 1.2572605
 1.2572605 1.2626766999999999 1.2626766999999999 1.2626766999999999
 1.2626766999999999 1.2626766999999999 1.2626766999999999
 1.2626766999999999 1.2626766999999999 1.2626766999999999
 1.2808309999999998 1.2808309999999998 1.2808309999999998
 1.2808309999999998 1.2808309999999998 1.2808309999999998
 1.2808309999999998 1.3048026999999998 1.3048026999999998 nan
 1.3101185999999998 1.3120242999999998 1.3120242999999998
 1.3120242999999998 1.3186440999999998 1.3186440999999998
 1.3186440999999998 1.3186440999999998 1.3186440999999998
 1.3186440999999998 1.3160363 1.2921649 1.2899583 nan 1.2803295
 1.2816333999999998 1.2816333999999998 1.2816333999999998
 1.2816333999999998 1.2848429999999997 nan 1.2742111999999999 1.2751139
 1.2751139 1.2693968 1.2693968 1.2693968 1.2693968 1.2693968 1.2693968
 1.2688952999999998 1.2742111999999999 1.2742111999999999 1.2856454
 1.2856454 1.2856454 1.2856454 1.2856454 1.2730076 1.2750136 1.2750136 nan
 1.2752142 1.2827366999999998 1.2827366999999998 1.2827366999999998
 1.2827366999999998 1.2827366999999998 1.2827366999999998
 1.2827366999999998 1.2827366999999998 1.2827366999999998
 1.2827366999999998 1.2827366999999998 1.3385034999999998
 1.3385034999999998 1.3385034999999998 1.3385034999999998
 1.3385034999999998 1.3385034999999998 1.3385034999999998
 1.3385034999999998 1.3385034999999998 1.3385034999999998
 1.3385034999999998 1.3691953 1.3691953 1.3691953 1.3691953 nan
 1.4035981999999998 1.4006895 1.3920636999999998 1.4005892 1.4005892
 1.4005892 1.4005892 1.4005892 1.4005892 1.4005892 1.3813315999999998
 1.3813315999999998 1.3813315999999998 nan 1.4014919 1.4071087 1.4071087
 1.3853436 1.3865471999999999 1.3865471999999999 nan 1.4002882999999997
 1.4020936999999998 1.4020936999999998 1.4020936999999998
 1.4020936999999998 1.4020936999999998 nan 1.4099170999999997
 1.3993855999999998 1.3909604 1.3802283 1.3828360999999998
 1.3655844999999998 nan 1.3747117999999998 1.3724048999999998
 1.3658853999999998 1.3544512 1.3628763999999998 1.3628763999999998
 1.3628763999999998 1.3628763999999998 1.3628763999999998
 1.3628763999999998 1.3441203 1.3361965999999998 1.3358957 nan
 1.3322848999999999 1.3264675 1.3264675 1.3047023999999998
 1.3047023999999998 1.3047023999999998 1.3047023999999998
 1.3047023999999998 1.3047023999999998 1.3375004999999998
 1.3375004999999998 1.3353941999999999 1.3291755999999997 nan 1.3237594
 1.3222549 1.3222549 1.3222549 1.324963 1.3327863999999998
 1.3327863999999998 1.3327863999999998 1.3327863999999998
 1.3327863999999998 1.3327863999999998 1.3150332999999998
 1.3166380999999998 nan 1.3153341999999997 1.3164375 1.3164375 1.3164375
 1.3274704999999998 1.3274704999999998]",,1.4527451999999998,-0.0029999999999998916,-0.0029999999999998916,-0.0029999999999998916,-0.0029999999999998916,-0.0029999999999998916,-0.0029999999999998916,0.0,0.0,-inf
