DateTime,Open,High,Low,Close,Volume,TradeDirection,TakeProfitRate,StoplossRate,TakeProfitPrice,LongStopLossRelativetoOpenPrice,ShortStopLossRelativetoOpenPrice,TrailingStoplossExitPrice,TrailingExitStopLossDate,TakeProfitHitDate,ExitPrice,ExitDate
2010-01-03,1.4301,1.4337,1.4257,1.429,0,Long,0.02,0.01,1.458702,1.4157989999999998,1.444401,1.438668,2010-01-15,,1.438668,2010-01-15
2010-01-04,1.4289,1.4456,1.4269,1.4427,0,Long,0.02,0.01,1.457478,1.414611,1.443189,1.438668,2010-01-15,2010-01-13,1.457478,2010-01-13
2010-01-05,1.4426,1.4483,1.4334,1.4355,0,Long,0.02,0.01,1.4714520000000002,1.428174,1.4570260000000002,1.438668,2010-01-15,,1.438668,2010-01-15
2010-01-06,1.4356,1.4447,1.4283,1.44,0,Hold,0.02,0.01,,1.421244,1.449956,,,,,
2010-01-07,1.4399,1.4404,1.4299,1.4313,0,Hold,0.02,0.01,,1.425501,1.454299,,,,,
2010-01-08,1.4314,1.4439,1.4263,1.4409,0,Long,0.02,0.01,1.460028,1.417086,1.445714,1.438668,2010-01-15,,1.438668,2010-01-15
2010-01-09,,,,,0,Long,0.02,0.01,,,,1.438668,2010-01-15,,1.438668,2010-01-15
2010-01-10,1.4428,1.4533,1.4408,1.4498,0,Long,0.02,0.01,1.471656,1.428372,1.4572280000000002,1.438668,2010-01-15,,1.438668,2010-01-15
2010-01-11,1.4499,1.4556,1.4453,1.4483,0,Hold,0.02,0.01,,1.435401,1.464399,,,,,
2010-01-12,1.4484,1.4546,1.4456,1.4489,0,Long,0.02,0.01,1.477368,1.433916,1.4628839999999999,1.438668,2010-01-15,,1.438668,2010-01-15
2010-01-13,1.4488,1.4579,1.4463,1.4533,0,Hold,0.02,0.01,,1.434312,1.4632880000000001,,,,,
2010-01-14,1.4532,1.4555,1.4406,1.4418,0,Short,0.02,0.01,1.424136,1.438668,1.467732,1.40188,2010-02-03,2010-01-19,1.424136,2010-01-19
2010-01-15,1.4417,1.4445,1.4337,1.4386,0,Hold,0.02,0.01,,1.427283,1.4561169999999999,,,,,
2010-01-16,,,,,0,Short,0.02,0.01,,,,1.40188,2010-02-03,,1.40188,2010-02-03
2010-01-17,1.4353,1.4378,1.4335,1.4374,0,Short,0.02,0.01,1.406594,1.420947,1.449653,1.40188,2010-02-03,2010-01-21,1.406594,2010-01-21
2010-01-18,1.4375,1.4414,1.4365,1.4394,0,Hold,0.02,0.01,,1.423125,1.451875,,,,,
2010-01-19,1.4393,1.4411,1.419,1.4212,0,Hold,0.02,0.01,,1.424907,1.4536930000000001,,,,,
2010-01-20,1.4211,1.422,1.4067,1.4096,0,Long,0.02,0.01,1.449522,1.406889,1.435311,1.406889,2010-01-20,,1.406889,2010-01-20
2010-01-21,1.4095,1.4143,1.403,1.4123,0,Long,0.02,0.01,1.43769,1.395405,1.423595,1.402632,2010-01-27,,1.402632,2010-01-27
2010-01-22,1.4124,1.4182,1.4086,1.4138,0,Long,0.02,0.01,1.4406480000000002,1.398276,1.4265240000000001,1.402632,2010-01-27,,1.402632,2010-01-27
2010-01-23,,,,,0,Short,0.02,0.01,,,,1.40188,2010-02-03,,1.40188,2010-02-03
2010-01-24,1.4156,1.4174,1.4134,1.4167,0,Short,0.02,0.01,1.3872879999999999,1.401444,1.429756,1.40188,2010-02-03,2010-01-29,1.3872879999999999,2010-01-29
2010-01-25,1.4168,1.4194,1.4088,1.4092,0,Long,0.02,0.01,1.445136,1.402632,1.430968,1.402632,2010-01-27,,1.402632,2010-01-27
2010-01-26,1.4091,1.4111,1.4042,1.4076,0,Short,0.02,0.01,1.380918,1.395009,1.423191,1.40188,2010-02-03,2010-02-04,1.40188,2010-02-03
2010-01-27,1.4075,1.4087,1.394,1.4013,0,Hold,0.02,0.01,,1.393425,1.421575,,,,,
2010-01-28,1.4012,1.4051,1.3912,1.393,0,Short,0.02,0.01,1.373176,1.387188,1.415212,1.40188,2010-02-03,2010-02-04,1.40188,2010-02-03
2010-01-29,1.3931,1.3987,1.3862,1.3862,0,Long,0.02,0.01,1.420962,1.379169,1.407031,1.3816439999999999,2010-02-04,2010-11-04,1.3816439999999999,2010-02-04
2010-01-30,,,,,0,Long,0.02,0.01,,,,1.3816439999999999,2010-02-04,,1.3816439999999999,2010-02-04
2010-01-31,1.3866,1.3887,1.3852,1.3881,0,Long,0.02,0.01,1.4143320000000001,1.3727340000000001,1.400466,1.3816439999999999,2010-02-04,2010-10-15,1.3816439999999999,2010-02-04
2010-02-01,1.388,1.3938,1.3873,1.3916,0,Long,0.02,0.01,1.41576,1.3741199999999998,1.40188,1.3816439999999999,2010-02-04,2010-10-15,1.3816439999999999,2010-02-04
2010-02-02,1.3915,1.3976,1.3902,1.3955,0,Hold,0.02,0.01,,1.3775849999999998,1.405415,,,,,
2010-02-03,1.3956,1.4025,1.3866,1.3889,0,Hold,0.02,0.01,,1.3816439999999999,1.409556,,,,,
2010-02-04,1.3888,1.3896,1.3669,1.3711,0,Long,0.02,0.01,1.416576,1.374912,1.4026880000000002,1.374912,2010-02-04,2010-11-04,1.374912,2010-02-04
2010-02-05,1.3712,1.3742,1.3585,1.3678,0,Short,0.02,0.01,1.3437759999999999,1.357488,1.384912,1.378145,2010-02-09,2010-03-02,1.378145,2010-02-09
2010-02-06,,,,,0,Short,0.02,0.01,,,,1.378145,2010-02-09,,1.378145,2010-02-09
2010-02-07,1.3658,1.3667,1.3621,1.3646,0,Hold,0.02,0.01,,1.352142,1.3794579999999999,,,,,
2010-02-08,1.3645,1.3713,1.3622,1.3692,0,Short,0.02,0.01,1.33721,1.3508550000000001,1.378145,1.378145,2010-02-09,2010-03-24,1.378145,2010-02-09
2010-02-09,1.3693,1.3839,1.3689,1.3754,0,Short,0.02,0.01,1.3419139999999998,1.355607,1.382993,1.382993,2010-02-09,2010-03-24,1.382993,2010-02-09
2010-02-10,1.3753,1.3812,1.3677,1.3792,0,Long,0.02,0.01,1.402806,1.361547,1.3890529999999999,1.361547,2010-02-11,2010-10-13,1.361547,2010-02-11
2010-02-11,1.3791,1.3801,1.3595,1.3669,0,Long,0.02,0.01,1.406682,1.3653089999999999,1.392891,1.3653089999999999,2010-02-11,2010-10-13,1.3653089999999999,2010-02-11
2010-02-12,1.367,1.3686,1.3531,1.3631,0,Long,0.02,0.01,1.39434,1.35333,1.38067,1.35333,2010-02-12,2010-10-06,1.35333,2010-02-12
2010-02-13,,,,,0,Short,0.02,0.01,,,,1.37461,2010-02-16,,1.37461,2010-02-16
2010-02-14,1.3625,1.3631,1.3605,1.3609,0,Hold,0.02,0.01,,1.348875,1.376125,,,,,
